ID,FiscalWeekBeginDate,Invoice Date,Region,Facility Name,Branch Id,Channel,soldto_name,shipto_name,Product Type,Major Code,Major Desc,Mid Code,Mid Desc,Minor Code,Minor Desc,Item,Item Desc,Sales,Gross Profit,GM Percent,TLE
1,3/30/2025,3/31/2025,Central,Birmingham,BIR,Direct,FIVE STAR LUMBER INC,FIVE STAR LUMBER INC (FIVSTAPELAL-1),Specialty,1,Specialty Products (01),2,Panels (0102),OSB,OSB Products (0102OSB),261608,OSB T and G HUBER BLUE PLUS FLOORING (3/4X4X8),11512.8,230.81,0.02,0.95
2,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2601 - IRONDALE AL (84LUMEIGPA-196),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),135799,RGH CEDAR APPEARANCE GRADE GRN (2X6X12),465,113.75,0.24,0.01
3,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2601 - IRONDALE AL (84LUMEIGPA-196),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),138453,RGH CEDAR APPEARANCE GRADE GRN (6X6X8),500,158.81,0.32,0.01
4,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2601 - IRONDALE AL (84LUMEIGPA-196),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),138478,RGH CEDAR APPEARANCE GRADE GRN (6X6X12),380,57.43,0.15,0
5,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2601 - IRONDALE AL (84LUMEIGPA-196),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),151752,RGH CEDAR APPEARANCE GRADE GRN (2X4X12),75.2,28.49,0.38,0
6,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2601 - IRONDALE AL (84LUMEIGPA-196),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),385273,RGH CEDAR APPEARANCE GRADE GRN (4X6X8),275,71.9,0.26,0
7,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),138168,S1S2E CEDAR APPEARANCE GRADE GRN (1X12X18),792,166.1,0.21,0
8,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),138220,S1S2E CEDAR APPEARANCE GRADE GRN (1X12X20),198,24.01,0.12,0
9,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),152036,S4S #2 and BTR CEDAR GRN (6X6X8),120,15.06,0.13,0
10,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),189826,S4S #2 and BTR CEDAR GRN (6X8X12),960,297.6,0.31,0.01
11,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),234602,S1S2E CEDAR APPEARANCE GRADE GRN (1X8X16),248,39.24,0.16,0
12,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),260938,S4S #2 and BTR CEDAR GRN (6X6X12),180,15.36,0.09,0
